id,DistSim,GranSim,LevSim
880,0.00,0.20,0.20
881,0.00,0.50,0.20
882,0.00,0.60,0.13
883,0.48,0.60,0.12
884,0.00,0.20,0.00
885,0.00,0.20,0.20
886,0.00,0.60,0.22
887,0.00,0.20,0.37
888,0.00,0.33,0.07
889,0.00,0.20,0.25
890,0.00,0.20,0.27
891,0.00,0.20,0.12
892,0.00,0.20,0.50
893,0.00,0.75,0.16
894,0.00,0.20,0.20
895,0.00,0.20,0.37
896,0.00,0.20,0.26
897,0.00,0.16,0.25
898,0.00,0.16,0.12
899,0.00,0.20,0.21
900,0.00,0.20,0.22
901,0.00,0.50,0.25
902,0.00,0.33,0.07
903,0.00,0.60,0.37
904,0.00,0.20,0.41
905,0.00,0.50,0.40
906,0.00,0.50,0.10
907,0.00,0.25,0.28
908,0.00,0.20,0.25
909,0.00,0.50,0.50
910,0.00,0.60,0.11
911,0.00,0.20,0.09
912,0.00,0.20,0.25
913,0.00,0.20,0.11
914,0.00,0.20,0.22
915,0.00,0.20,0.20
916,0.00,0.33,0.07
917,0.00,0.20,0.00
918,0.00,0.20,0.07
919,0.00,0.20,0.28
920,0.00,0.20,0.16
921,0.00,0.25,0.11
922,0.00,0.20,0.25
923,0.00,0.20,0.00
924,0.00,0.20,0.06
925,0.00,0.16,0.09
926,0.00,0.16,0.00
927,0.00,0.20,0.15
928,0.00,0.20,0.00
929,0.00,0.50,0.16
930,0.00,0.33,0.07
931,0.79,1.00,0.23
932,0.00,0.20,0.18
933,0.00,0.50,0.14
934,0.39,0.83,0.16
935,0.00,0.25,0.22
936,0.00,0.20,0.00
937,0.00,0.50,0.25
938,0.00,0.80,0.20
939,0.00,0.16,0.15
940,0.00,0.16,0.15
941,0.00,0.20,0.20
942,0.00,0.20,0.15
943,0.00,0.50,0.23
944,0.00,0.33,0.11
945,0.00,0.60,0.23
946,0.00,0.20,0.28
947,0.00,0.50,0.17
948,0.00,0.50,0.23
949,0.00,0.25,0.17
950,0.00,0.20,0.21
951,0.00,0.50,0.21
952,0.00,0.60,0.17
953,0.00,0.50,0.29
954,0.00,0.16,0.00
955,0.00,0.20,0.28
956,0.00,0.80,0.20
957,0.00,0.16,0.38
958,0.00,0.33,0.25
959,0.00,0.20,0.38
960,0.00,0.20,0.31
961,0.00,0.16,0.37
962,0.00,0.16,0.18
963,0.00,0.75,0.31
964,0.00,0.20,0.31
965,0.00,0.16,0.43
966,0.00,0.20,0.40
967,0.00,0.20,0.16
968,0.00,0.20,0.37
969,0.00,0.20,0.33
970,0.00,0.20,0.11
971,0.00,0.20,0.33
972,0.00,0.33,0.23
973,0.00,0.20,0.20
974,0.00,0.20,0.23
975,0.00,0.20,0.17
976,0.00,0.20,0.27
977,0.00,0.25,0.35
978,0.00,0.20,0.30
979,0.00,0.20,0.28
980,0.00,0.20,0.26
981,0.00,0.20,0.33
982,0.00,0.20,0.12
983,0.00,0.20,0.30
984,0.00,0.20,0.11
985,0.00,0.20,0.36
986,0.00,0.33,0.18
987,0.00,0.20,0.27
988,0.00,0.20,0.25
989,0.00,0.20,0.25
990,0.00,0.20,0.27
991,0.00,0.25,0.27
992,0.00,0.20,0.33
993,0.00,0.20,0.36
